sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
36EDIT,NickOT16RH_BAA8CE4BBE12445Z0Z,22802,5,0.0219279010613101,31,0.1359529865801234
36EDIT,NickOT17RH_5FBF949B1FE6486Z0Z,20836,10,0.04799385678633109,38,0.18237665578805837
36EDIT,NickOT18RH_27D5C64EAE8846EZ0Z,13904,0,0.0,23,0.16542002301495967
36EDIT,NickOT19RH_2D095AFBA5B84B3Z0Z,3540,0,0.0,8,0.22598870056497142
36EDIT,NickOT20RH_3417DD3BC44C48AZ0Z,81980,1076,1.3125152476213418,93,0.11344230300072722
36EDIT,NickOT21RH_CFE0A0AD68AB464Z0Z,7177,1,0.0139333983558589,3,0.0418001950675768
36EDIT,NickOT23RH_D8A6D93501C04EAZ0Z,9508,5,0.0525872949095496,11,0.1156920488010096
36EDIT,NickOT24RH_7392BED4418448FZ0Z,8661,4,0.0461840434130008,1,0.0115460108532502
36EDIT,NickOT25RH_86BA87C0E80A429Z0Z,3812,1,0.0262329485834207,0,0.0
36EDIT,NickOT26RH_6D55E228D08145AZ0Z,43448,14,0.032222426809058596,40,0.0920640765973107
36EDIT,NickOT28RH_6D36DC442D1E438Z0Z,10117,5,0.049421765345458,11,0.10872788376000769
36EDIT,NickOT29RH_95C15E59C219421Z0Z,22046,12,0.0544316429284214,18,0.08164746439263289
36EDIT,NickOT30RH_FFCDC6A40E994D0Z0Z,14815,1,0.0067499156260546,6,0.0404994937563279
36EDIT,NickOT31RH_ACB09C92E60D4A3Z0Z,36260,45,0.12410369553226631,41,0.11307225592939812
36EDIT,NickOT33RH_DD623AEB119045CZ0Z,17848,6,0.0336172120125504,21,0.11766024204392636
36EDIT,NickOT34RH_EB296E9558E741CZ0Z,26664,16,0.060006000600059804,11,0.04125412541254091
36EDIT,NickOT35RH_31F6A4241DF54FDZ0Z,29331,1,0.0034093621083495,24,0.08182469060038829
36EDIT,NickOT36RH_F480ED73FAF049EZ0Z,33502,18,0.053728135633692595,22,0.06566772133006868
36EDIT,NickOT37RH_9B5A42A1FB1C45AZ0Z,60217,0,0.0,173,0.2872942856668346
